"","rate","len","adt","trks","slim","lwid","shld","itg","sigs","acpt","lane"
"rate",1,-0.47,-0.03,-0.51,-0.68,-0.01,-0.39,-0.02,0.56,0.75,-0.03
"len",-0.47,1,-0.27,0.5,0.19,-0.31,-0.1,-0.25,-0.32,-0.24,-0.2
"adt",-0.03,-0.27,1,-0.1,0.24,0.13,0.46,0.9,0.15,-0.22,0.82
"trks",-0.51,0.5,-0.1,1,0.3,-0.16,0.01,-0.07,-0.45,-0.36,-0.15
"slim",-0.68,0.19,0.24,0.3,1,0.1,0.69,0.24,-0.41,-0.68,0.26
"lwid",-0.01,-0.31,0.13,-0.16,0.1,1,-0.04,0.1,0.04,-0.04,0.1
"shld",-0.39,-0.1,0.46,0.01,0.69,-0.04,1,0.38,-0.13,-0.42,0.48
"itg",-0.02,-0.25,0.9,-0.07,0.24,0.1,0.38,1,0.07,-0.2,0.7
"sigs",0.56,-0.32,0.15,-0.45,-0.41,0.04,-0.13,0.07,1,0.5,0.25
"acpt",0.75,-0.24,-0.22,-0.36,-0.68,-0.04,-0.42,-0.2,0.5,1,-0.21
"lane",-0.03,-0.2,0.82,-0.15,0.26,0.1,0.48,0.7,0.25,-0.21,1
